City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,34.52,scattered clouds
Turda,RO,46.5667,23.7833,39.04,100,82,1.14,fog
Staryy Nadym,RU,65.6118,72.6842,-12.89,99,49,4.61,scattered clouds
Kananga,CD,-5.8958,22.4178,67.46,99,100,1.48,light rain
Shache,CN,38.4167,77.2406,44.87,26,76,0.27,broken clouds
Taoudenni,ML,22.6783,-3.9836,72.12,16,90,11.12,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,58.73,100,100,2.3,overcast clouds
Tazovskiy,RU,67.4667,78.7,-11.45,95,70,6.89,broken clouds
Hearst,CA,49.6835,-83.6665,12.45,93,100,3.33,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,77.22,68,40,8.05,light rain
Middelburg,ZA,-25.7751,29.4648,66.45,54,60,4.81,broken clouds
Sabya,SA,17.1495,42.6254,76.62,59,7,3.96,clear sky
Isabela,PH,6.7085,121.9711,89.65,73,100,2.59,overcast clouds
Cape Town,ZA,-33.9258,18.4232,62.91,75,0,6.91,clear sky
Sladkovo,RU,55.5284,70.3385,12.6,90,100,10.42,overcast clouds
Berlevag,NO,70.8578,29.0864,41,81,100,24.16,overcast clouds
Sarkand,KZ,45.41,79.9186,40.82,71,100,6.08,overcast clouds
Ushuaia,AR,-54.8,-68.3,47.86,61,75,17.27,light rain
Namibe,AO,-15.1961,12.1522,64.8,85,77,1.43,broken clouds
Kongolo,CD,-5.3833,27,68.94,98,100,1.19,overcast clouds
Shakawe,BW,-18.3667,21.85,74.26,57,9,5.7,clear sky
Civitavecchia,IT,42.0933,11.7967,62.42,96,99,7.78,overcast clouds
Port Alfred,ZA,-33.5906,26.891,62.19,82,35,1.99,scattered clouds
Chancay,PE,-11.5714,-77.2672,62.85,89,80,5.14,broken clouds
Husavik,IS,66.0449,-17.3389,42.4,91,88,9.91,overcast clouds
Hermanus,ZA,-34.4187,19.2345,56.8,77,100,6.62,overcast clouds
Petauke,ZM,-14.2426,31.3253,71.67,69,53,7.67,broken clouds
East London,ZA,-33.0153,27.9116,63.54,88,0,5.75,clear sky
Saint-Philippe,RE,-21.3585,55.7679,76.59,69,57,8.93,broken clouds
Awbari,LY,26.5921,12.7805,58.39,39,100,2.21,overcast clouds
Beohari,IN,24.05,81.3833,76.71,39,0,4.63,clear sky
Jamestown,US,42.097,-79.2353,34.02,80,100,9.22,mist
Soledade,BR,-28.8183,-52.5103,52.99,74,1,0.87,clear sky
Qaanaaq,GL,77.484,-69.3632,-2.49,86,18,6.4,few clouds
Ponta Do Sol,PT,32.6667,-17.1,67.71,62,95,6.11,overcast clouds
Coihaique,CL,-45.5752,-72.0662,45.21,93,100,2.3,light rain
Viedma,AR,-40.8135,-62.9967,62.71,51,33,11.01,scattered clouds
Arlit,NE,18.7369,7.3853,65.34,23,97,5.37,overcast clouds
Aleppo,SY,36.25,37.5,57.67,72,100,14.83,light rain
Arraial Do Cabo,BR,-22.9661,-42.0278,72.23,89,100,6.44,overcast clouds
Codrington,AU,-38.2667,141.9667,55.47,61,48,14.18,scattered clouds
Upernavik,GL,72.7868,-56.1549,18.14,76,100,5.79,overcast clouds
Havant,GB,50.8567,-0.9856,52.88,88,100,11.99,light rain
Klaksvik,FO,62.2266,-6.589,49.12,90,100,28.52,overcast clouds
Nanortalik,GL,60.1432,-45.2371,24.55,81,100,10.49,overcast clouds
Margate,GB,51.3813,1.3862,54.9,93,47,20.62,scattered clouds
Iqaluit,CA,63.7506,-68.5145,6.53,78,100,6.91,light snow
Chuy,UY,-33.6971,-53.4616,54.82,66,0,6.24,clear sky
Vardo,NO,70.3705,31.1107,39.18,87,75,18.41,broken clouds
Richards Bay,ZA,-28.783,32.0377,70.97,72,45,3.94,scattered clouds
Beloha,MG,-25.1667,45.05,78.73,65,49,4.97,light rain
Narsaq,GL,60.9167,-46.05,28.62,95,99,3.62,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,62.46,66,93,4.5,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,74.5,73,55,3.76,broken clouds
Porto Novo,BJ,6.4965,2.6036,82.22,92,27,4.59,scattered clouds
Miandoab,IR,36.9694,46.1027,39.58,41,0,4.47,clear sky
Mutis,CO,6.2262,-77.4044,76.57,91,99,4.43,light rain
Labrea,BR,-7.2586,-64.7981,72.57,98,100,2.75,moderate rain
Sesheke,ZM,-17.4759,24.2968,73.69,65,7,7.29,clear sky
Samfya,ZM,-11.3649,29.5565,70.2,73,94,7.52,light rain
Saldanha,ZA,-33.0117,17.9442,63,80,98,9.01,overcast clouds
Grindavik,IS,63.8424,-22.4338,45.07,100,100,10.36,overcast clouds
Busselton,AU,-33.65,115.3333,71.49,46,100,12.59,light rain
Paita,PE,-5.0892,-81.1144,63.86,85,92,13.49,overcast clouds
Inhambane,MZ,-23.865,35.3833,64.38,100,20,0,few clouds
Gao,ML,16.6362,1.637,66.78,19,92,12.39,overcast clouds
Hithadhoo,MV,-0.6,73.0833,81.73,75,99,10.94,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,61.09,70,0,4.61,clear sky
Methoni,GR,36.8197,21.7049,59.22,71,91,11.86,overcast clouds
Valparaiso,CL,-33.0393,-71.6273,56.84,94,1,1.14,clear sky
Manta,EC,-0.95,-80.7333,71.38,78,0,13.8,clear sky
Weligama,LK,5.9667,80.4167,83.57,66,100,3.27,heavy intensity rain
Balkanabat,TM,39.5108,54.3671,50.23,60,24,6.51,few clouds
Ilulissat,GL,69.2167,-51.1,24.82,80,100,1.14,overcast clouds
Monrovia,LR,6.3005,-10.7969,76.08,85,100,2.98,light rain
Oytal,KZ,42.9057,73.2697,36.16,97,100,2.33,overcast clouds
Sinazongwe,ZM,-17.2614,27.4618,77.7,70,24,4.63,few clouds
Hauterive,FR,46.0901,3.4459,52.56,92,40,5.97,scattered clouds
Ostrovnoy,RU,68.0531,39.5131,36.84,77,100,23.22,light rain
Longyearbyen,SJ,78.2186,15.6401,40.84,70,40,10.36,scattered clouds
Xai-Xai,MZ,-25.0519,33.6442,72.25,62,0,6.73,clear sky
Luanda,AO,-8.8368,13.2343,73.4,83,40,2.3,scattered clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,97,100,6.91,light rain
Hambantota,LK,6.1241,81.1185,84.54,79,20,2.3,few clouds
Cavalcante,BR,-13.7975,-47.4583,67.37,96,100,3.58,overcast clouds
Manakara,MG,-22.1333,48.0167,72.64,82,100,8.46,light rain
Victoria,HK,22.2855,114.1577,82.45,87,99,5.01,overcast clouds
Sinop,TR,41.7711,34.8709,45.93,61,100,7.85,overcast clouds
Kamenka,RU,51.3223,42.7678,29.23,60,100,11.72,overcast clouds
Georgetown,MY,5.4112,100.3354,86.9,77,20,3.44,few clouds
Gualaco,HN,15.05,-86.05,66.4,99,62,1.86,broken clouds
Harper,LR,4.375,-7.7169,76.66,85,59,4.47,light rain
Huarmey,PE,-10.0681,-78.1522,63.79,86,72,8.01,broken clouds
Marsh Harbour,BS,26.5412,-77.0636,78.87,74,26,5.79,scattered clouds
Mahebourg,MU,-20.4081,57.7,77.25,68,40,8.05,scattered clouds
Ornes,NO,66.8689,13.7078,41.65,32,8,7.4,clear sky
Walvis Bay,NA,-22.9575,14.5053,58.08,94,100,3.44,fog
Tiznit,MA,29.5833,-9.5,62.71,26,12,1.92,few clouds
Luderitz,NA,-26.6481,15.1594,60.57,57,7,11.01,clear sky
Nisia Floresta,BR,-6.0911,-35.2086,77.81,85,5,6.24,clear sky
San Lorenzo,PY,-25.3333,-57.5333,63.59,88,6,0,clear sky
Sorland,NO,67.667,12.6934,42.66,53,25,8.48,scattered clouds
Dikson,RU,73.5069,80.5464,-8.72,100,54,2.51,broken clouds
Pangnirtung,CA,66.1451,-65.7125,-0.72,92,98,3.31,overcast clouds
Havelock,US,34.8791,-76.9013,69.75,91,40,6.91,scattered clouds
Saint-Leu,RE,-21.15,55.2833,76.06,60,67,2.57,broken clouds
Oussouye,SN,12.485,-16.5469,76.37,77,73,4.18,broken clouds
Krasnovishersk,RU,60.4078,57.082,5.97,80,100,0.92,overcast clouds
Angoche,MZ,-16.2325,39.9086,80.13,72,46,2.21,scattered clouds
Torbay,CA,47.6666,-52.7314,33.76,87,40,6.91,scattered clouds
Nizwa,OM,22.9333,57.5333,81.07,27,0,0.87,clear sky
Manaure,CO,11.7751,-72.4445,79.43,85,75,12.91,broken clouds
Kallaste,EE,58.655,27.1592,34.03,70,100,13.13,overcast clouds
Talnakh,RU,69.4865,88.3972,-18.15,99,90,5.17,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,81.55,77,3,18.05,light rain
Sayyan,YE,15.1718,44.3244,54.36,34,1,6.33,clear sky
Abu Samrah,SY,35.3029,37.1841,56.08,84,45,4.72,scattered clouds
